T_K,shear_rate_1_per_s,viscosity_Pa_s
533.15,0.01,62139603.79782183
533.15,0.011689518164985783,64452823.84963916
533.15,0.013664483492953256,64531136.62195463
533.15,0.01597312280060254,66722070.02387818
533.15,0.018671810912919196,65714138.188546516
533.15,0.02182644728397487,64794357.99683307
533.15,0.025514065200312887,66922279.17423203
533.15,0.02982471286216891,61821703.61331042
533.15,0.03486365227678084,62877561.24014075
533.15,0.040753929658717776,62325898.350407556
533.15,0.047639380104013404,63358184.04840861
533.15,0.0556881399094527,61460130.28051492
533.15,0.0650967523045817,65329281.88639501
533.15,0.07609496685459875,63680242.55966025
533.15,0.08895134973108237,61278784.964375
533.15,0.103979841848149,62154087.15702803
533.15,0.12154742500762866,64709935.49866356
533.15,0.14208308325339225,65718477.21675203
533.15,0.16608827826277156,67946139.6475919
533.15,0.19414919457438806,69709161.42035058
533.15,0.22695105366946683,64901309.254711054
533.15,0.26529484644318957,62200020.68780519
533.15,0.3101168926574778,60001142.66869072
533.15,0.3625117049988534,64613410.35436969
533.15,0.4237587160604063,62531991.03964541
533.15,0.495353520895917,63291828.55869987
533.15,0.5790443980602485,62907231.05109114
533.15,0.6768750009458534,63804567.48285312
533.15,0.7912342618981322,66111900.844546385
533.15,0.9249147277217334,64348570.61219195
533.15,1.0811807510766076,63719783.021036975
533.15,1.2638482029342983,62005768.53444783
533.15,1.4773776525985112,60739590.67856775
533.15,1.7269832906594342,62964069.85026225
533.15,2.018760254679039,63716855.13299469
533.15,2.3598334667821934,67095740.54061181
533.15,2.758531617629184,63825248.00265442
533.15,3.2245905452963948,65258164.04798918
533.15,3.7693909753883594,62193270.33405099
533.15,4.406236427773573,60574748.79787201
533.15,5.150678076168122,60566677.37150108
533.15,6.020894493336131,60464718.045156874
533.15,7.0381355549315545,64992847.521658316
533.15,8.227241341700465,58711484.40063474
533.15,9.617248711152964,60584913.0086869
533.15,11.242100350620861,56226387.05722811
533.15,13.141473626117566,57850149.53749901
533.15,15.361749466718281,55201065.40278038
533.15,17.95714494371641,52453306.51999554
533.15,20.991037201085543,50643089.65418157
533.15,24.537511066398167,47669309.70681972
533.15,28.683168133420118,47121523.24467844
533.15,33.529241492495565,43759589.47666096
533.15,39.19406774847221,40697965.82598608
533.15,45.815976690544915,38640332.815298356
533.15,53.55666917706896,38366995.228306964
533.15,62.60516572014822,37944401.89990079
533.15,73.18242219076174,34528886.91771005
533.15,85.54672535565685,32464278.399261467
533.15,100.0,31143024.748435393
